ts,temperature,humidity,mq5_raw,mq5_index
2026-04-26T05:32:57.622Z,26,19,139,0.545
2026-04-26T05:33:03.092Z,26,19,141,0.553
2026-04-26T05:33:08.558Z,26,19,139,0.545
2026-04-26T05:33:14.012Z,26,19,141,0.553
2026-04-26T05:33:19.483Z,26,19,139,0.545
2026-04-26T05:33:24.960Z,26,19,139,0.545
2026-04-26T05:33:32.052Z,26,20,140,0.549
2026-04-26T05:33:37.545Z,26,19,140,0.549
2026-04-26T05:33:43.022Z,26,19,140,0.549
2026-04-26T05:33:48.494Z,26,19,139,0.545
2026-04-26T05:33:53.958Z,26,19,140,0.549
2026-04-26T05:33:59.441Z,26,19,139,0.545
2026-04-26T05:34:04.911Z,26,19,141,0.553
2026-04-26T05:34:10.375Z,26,19,141,0.553
2026-04-26T05:34:15.835Z,26,19,139,0.545
2026-04-26T05:34:21.305Z,26,19,141,0.553
2026-04-26T05:34:26.776Z,26,19,140,0.549
2026-04-26T05:34:32.248Z,26,19,139,0.545
2026-04-26T05:34:37.733Z,26,19,141,0.553
2026-04-26T05:34:43.211Z,26,19,141,0.553
2026-04-26T05:34:48.682Z,26,19,139,0.545
2026-04-26T05:34:54.158Z,26,19,140,0.549
2026-04-26T05:34:59.620Z,26,19,139,0.545
2026-04-26T05:35:05.092Z,26,19,139,0.545
2026-04-26T05:35:12.171Z,26,20,141,0.553
2026-04-26T05:35:17.640Z,26,19,140,0.549
2026-04-26T05:35:23.098Z,26,19,139,0.545
2026-04-26T05:35:28.569Z,26,19,140,0.549
2026-04-26T05:35:34.060Z,26,19,139,0.545
2026-04-26T05:35:39.528Z,26,19,139,0.545
2026-04-26T05:35:45.000Z,26,19,141,0.553
2026-04-26T05:35:50.473Z,26,19,141,0.553
2026-04-26T05:35:55.932Z,26,19,140,0.549
2026-04-26T05:36:01.410Z,26,19,141,0.553
2026-04-26T05:36:06.879Z,26,19,139,0.545
2026-04-26T05:36:12.333Z,26,19,139,0.545
2026-04-26T05:36:17.805Z,26,19,139,0.545
2026-04-26T05:36:23.274Z,26,19,141,0.553
2026-04-26T05:36:28.756Z,26,19,139,0.545
2026-04-26T05:36:34.226Z,26,18,139,0.545
2026-04-26T05:36:39.689Z,26,19,140,0.549
2026-04-26T05:36:45.157Z,26,18,139,0.545
2026-04-26T05:36:50.609Z,26,18,141,0.553
2026-04-26T05:36:56.074Z,26,18,139,0.545
2026-04-26T05:37:01.552Z,26,18,140,0.549
2026-04-26T05:37:07.023Z,26,19,141,0.553
2026-04-26T05:37:12.493Z,26,18,141,0.553
